title,pub_status,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,Abstract,Keywords,importance,comments,PDF_in_Drive
Conservation At The Edges Of The World,PUBLISHED,,ASSIGNED,PARC-0096,UPLOADED,https://www.sciencedirect.com/science/article/pii/S0006320713001766?casa_token=iQV4vhQQdOIAAAAA:KbR8tOmkrfzB0-6FEMSYPYea1UMyuZmeFdICNSitKhCJOHYWzjndHi6HXfkolhbxWBWdZB5kHu68,-,"McCauley, D.J., E. Power, D.W. Bird, A. McInturff, R.B. Dunbar, W.H. Durham, F. Micheli, and H.S. Young. (2013). Conservation at the edges of the world. Biological Conservation 165:139-145{PARC-0096}",2013,"McCauley, Douglas J.; Power, Eleanor A.; Bird, Douglas W.; McInturff, Alex; Dunbar, Robert B.; Durham, William H.; Micheli, Fiorenza; Young, Hillary S.",Biological Conservation,10.1016/j.biocon.2013.05.026,,,,Overview of conservation strategies rather than direct sampling,
Contrasting Recovery Following Removal Of Growth Anomalies In The Corals Acropora And Montipora,PUBLISHED,,ASSIGNED,PARC-0097,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/24113251,-,"Williams, G.J. 2013. Contrasting recovery following removal of growth anomalies in the corals Acropora and Montipora. Diseases of Aquatic Organisms 106:181-185{PARC-0097}",2013,"Williams, Gareth J",Diseases of aquatic organisms,10.3354/dao02652,,,,-,
Ocean Warming And Acidification Have Complex Interactive Effects On The Dynamics Of A Marine Fungal Disease,PUBLISHED,,ASSIGNED,PARC-0098,UPLOADED,http://dx.doi.org/10.1098/rspb.2013.3069,http://dx.doi.org/10.1098/rspb.2013.3069,"Williams, G.J. N. Price, B. Ushijima, G.A. Aeby, S. Callahan, S.K. Davy, J.M. Gove, M.D. Johnson, I.S. Knapp, A. Shore-Maggio, J.E. Smith, P. Videau, T. M. Work. 2014. Ocean warming and acidification have complex interactive effects on the dynamics of a marine fungal disease. Proceedings of the Royal Society Biological Sciences 281- 20133069 {PARC-0098}",2014,"Williams, Gareth J.; Price, Nichole N.; Ushijima, Blake; Aeby, Greta S.; Callahan, Sean; Davy, Simon K.; Gove, Jamison M.; Johnson, Maggie D.; Knapp, Ingrid S.; Shore-Maggio, Amanda; Smith, Jennifer E.; Videau, Patrick; Work, Thierry M.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2013.3069,,,,-,
Distant Storms As Drivers Of Environmental Change At Pacific Atolls,PUBLISHED,,ASSIGNED,PARC-0100,UPLOADED,https://doi.org/10.1371/journal.pone.0087971,http://www.palmyraresearch.org/,"Gardner JPA, Garton DW, Collen JD, Zwartz D. 2014. Distant storms as drivers of environmental change at Pacific atolls. PLoS ONE 9:e87971 {PARC-0100}",2014,"Gardner, Jonathan P. A.; Garton, David W.; Collen, John D.; Zwartz, Daniel",PLoS ONE,10.1371/journal.pone.0087971,,,,Exact data link not provided,
"Quantifying Patterns Of Fish Herbivory On Palmyra Atoll (Usa), An Uninhabited Predator-Dominated Central Pacific Coral Reef",PUBLISHED,,ASSIGNED,PARC-0101,UPLOADED,https://doi.org/10.3354/meps10684,-,"Hamilton, S.L., J.E. Smith, N.N. Price, and S.A. Sandin. 2014. Quantifying patterns of fish herbivory on Palmyra Atoll (USA), an uninhabited predator-dominated central Pacific coral reef. Marine Ecology Progress Series 501:141-155 {PARC- 0101}",2014,"Hamilton, Sl; Smith, Je; Price, Nn; Sandin, Sa",Marine Ecology Progress Series,10.3354/meps10684,,,,-,
Differential Plant Damage Due To Litterfall In Palm-Dominated Forest Stands In A Central Pacific Atoll,PUBLISHED,,ASSIGNED,PARC-0102,UPLOADED,http://dx.doi.org/10.1017/S026646741400008X,-,"Young, H.S., D.J. McCauley, A. Pollock, and Dirzo, R. Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll. Journal of Tropical Ecology 30:231-236 DOI: http://dx.doi.org/10.1017/S026646741400008X {PARC -0102}",2014,"Young, Hillary S.; McCauley, Douglas J.; Pollock, Amanda; Dirzo, Rodolfo",Journal of Tropical Ecology,10.1017/S026646741400008X,,,,-,
"Conservation Management Options And Actions: Putative Decline Of Coral Cover At Palmyra Atoll, Northern Line Islands, As A Case Study",PUBLISHED,,ASSIGNED,PARC-0103,UPLOADED,https://linkinghub.elsevier.com/retrieve/pii/S0025326X14002914,-,"Gardner J.P.A, Bartz R.J., Brainard R.E., Collen J.D., Dunbar R.B., Garton D.W., Powell S. 2014. Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study. Marine Pollution Bulletin 84:182-190. {PARC-0103}",2014,"Gardner, Jonathan P.A.; John Bartz, R.; Brainard, Russell E.; Collen, John D.; Dunbar, Robert B.; Garton, David W.; Powell, Sam",Marine Pollution Bulletin,10.1016/j.marpolbul.2014.05.013,,,,"Raw data is listed as available at palmyraresearch.org, however that URL is an invalid domain and is not linked to a website",
Reliance Of Mobile Species On Sensitive Habitats: A Case Study Of Manta Rays (Manta Alfredi) And Lagoons,PUBLISHED,,ASSIGNED,PARC-0104,UPLOADED,https://doi.org/10.1007/s00227-014-2478-7,-,"McCauley D.J., P.A. DeSalles, H.S. Young, Y.P. Papastamatiou, J.E. Caselle, M.H. Deakos, J.P.A. Gardner, D.W. Garton, J.D. Collen, F. Micheli. 2014. Reliance of mobile species on sensitive habitats: A case study of manta rays (Manta alfredi) and lagoons. Marine Biology 161:1987-1998. Doi 10.1007/s00227-014-2478-7 {PARC- 0104}",2014,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Deakos, Mark H.; Gardner, Jonathan P. A.; Garton, David W.; Collen, John D.; Micheli, Fiorenza",Marine Biology,10.1007/s00227-014-2478-7,,,,Library info not verified,
Fishing Drives Declines In Fish Parasite Diversity And Has Variable Effects On Parasite Abundance,PUBLISHED,,ASSIGNED,PARC-0107,UPLOADED,http://doi.org/doi:10.1890/13-1270.1,http://doi.org/doi:10.1890/13-1270.1,"Wood, C.L., S. A. Sandin, B. Zgliczynski, A.S. Guerra, and F. Micheli (2014). Fishing drives declines in fish parasite diversity and has variable effects on parasite abundance. Ecology 95: 1929‚Äì1946. doi:10.1890/13-1270.1{PARC-0107}",2014,"Wood, Chelsea L.; Sandin, Stuart A.; Zgliczynski, Brian; Guerra, Ana Sof√≠a; Micheli, Fiorenza",Ecology,10.1890/13-1270.1,,,,Some supplementary info available,
Environmental And Ecological Controls Of Coral Community Metabolism On Palmyra Atoll,PUBLISHED,paper,ASSIGNED,PARC-0109,UPLOADED,https://doi.org/10.1007/s00338-014-1217-3,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0121946,"Koweek, D., R.B. Dunbar, J.S. Rogers, G.J. Williams, N. Price, D. Mucciarone and L. Teneva. 2014. Environmental and ecological controls of coral community metabolism on Palmyra Atoll. Coral Reefs. DOI 10.1007/s00338-014-1217-3 {PARC-0109}",2015,"Koweek, David; Dunbar, Robert B.; Rogers, Justin S.; Williams, Gareth J.; Price, Nichole; Mucciarone, David; Teneva, Lida",Coral Reefs,10.1007/s00338-014-1217-3,,,,Some information notes as available,
Benthic Processes And Overlying Fish Assemblages Drive The Composition Of Benthic Detritus On A Central Pacific Coral Reef,PUBLISHED,paper,ASSIGNED,PARC-0111,UPLOADED,https://doi.org/10.3354/meps10259,http://www.int-res.com/articles/suppl/m482p181_supp.pdf,"Max, L.M., Hamilton, S.L., Gaines, S.D. and Warner, R.R., 2013. Benthic processes and overlying fish assemblages drive the composition of benthic detritus on a central Pacific coral reef. Marine Ecology Progress Series, 482, pp.181-195.",2013,"Max, Lisa M; Hamilton, Scott L; Gaines, Steven D; Warner, Robert R",Marine Ecology Progress Series,10.3354/meps10259,,,,"Library info not verified | NOTE: 0111 did not exist, assigned to this reference (also not included) in Dec. 2019 by kdk",
Umbrella Species In Marine Systems: Using The Endangered Humphead Wrasse To Conserve Coral Reefs,PUBLISHED,,ASSIGNED,PARC-0112,UPLOADED,https://doi.org/10.3354/esr00663,http://www.int-res.com/articles/suppl/n027p251_supp.pdf,"Weng, K.C. M.W. Pedersen, G.A. Del Raye, J.E. Caselle, and A.E. Gray. 2015. Umbrella species in marine systems: using the endangered humphead wrasse to conserve coral reefs. Endangered Species Research 27:251-263 {PARC-0112)",2015,"Weng, Kc; Pedersen, Mw; Del Raye, Ga; Caselle, Je; Gray, Ae",Endangered Species Research,10.3354/esr00663,,,,Library info not verified,
Coral Reef Benthic Regimes Exhibit Non-Linear Threshold Responses To Natural Physical Drivers,PUBLISHED,,ASSIGNED,PARC-0114,UPLOADED,https://doi.org/10.3354/meps11118,-,"Gove, J.M, G.J. Williams, M.A. McManus, J.S. Clark, J.S. Ehses, and L.M. Wedding. 2015. Coral reef benthic regimes exhibit non-linear threshold responses to natural physical drivers. Mar Ecol Prog Ser 522:33-48. https://doi.org/10.3354/meps11118. {PARC-0114}",2015,"Gove, Jamison M; Williams, Gareth J; McManus, Margaret A; Clark, Susan J; Ehses, Julia S; Wedding, Lisa M",Marine Ecology Progress Series,10.3354/meps11118,,,,-,
"Drivers Of Daily Routines In An Ectothermic Marine Predator: Hunt Warm, Rest Warmer?",PUBLISHED,,ASSIGNED,PARC-0115,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0127807,https://doi/org/10.1371/journal.pone.0127807,"Papastamatiou, .YP., Y.Y. Watanabe, D. Bradley, L.E. Dee, K. Weng, C.G. Lowe, and J.E. Caselle. 2015. Drivers of Daily Routines in an Ectothermic Marine Predator: Hunt Warm, Rest Warmer? PLoS ONE 10(6): e0127807. doi:10.1371/journal.pone.0127807 {PARC-0115}",2015,"Papastamatiou, Yannis P.; Watanabe, Yuuki Y.; Bradley, Darcy; Dee, Laura E.; Weng, Kevin; Lowe, Christopher G.; Caselle, Jennifer E.",PLOS ONE,10.1371/journal.pone.0127807,,,,Raw data noted as available in supporting information files,
Frictional Wave Dissipation On A Remarkably Rough Reef,PUBLISHED,,ASSIGNED,PARC-0116,UPLOADED,https://doi.org/doi:10.1002/2015GL063804,https://doi.org/doi:10.1002/2015GL063804,"Monismith, S. G., J. S. Rogers, D. Koweek, and R. B. Dunbar. 2015. Frictional wave dissipation on a remarkably rough reef, Geophys. Res. Lett., 42, doi:10.1002/2015GL063804.{PARC-0116}",2015,"Monismith, Stephen G.; Rogers, Justin S.; Koweek, David; Dunbar, Robert B.",Geophysical Research Letters,10.1002/2015GL063804,,,,Some supporting information available,
Temporal Dynamics And Persistence Of Sponge Assemblages In A Central Pacific Atoll Lagoon,PUBLISHED,,ASSIGNED,PARC-0117,UPLOADED,https://doi.org/doi:10.1111/maec.12303,-,"Knapp, I.S., G.J. Williams, and J.J. Bell. 2016. Temporal dynamics and persistence of sponge assemblages in a Central Pacific atoll lagoon. Marine Ecology. 10.1111/maec.12303 {PARC-0117}",2016,"Knapp, Ingrid S.S; Williams, Gareth J.; Bell, James J.",Marine Ecology,10.1111/maec.12303,,,,Library info not verified,
Wave Dynamics Of A Pacific Atoll With High Frictional Effects,PUBLISHED,,ASSIGNED,PARC-0120,UPLOADED,http://dx.doi.org/10.1002/2015JC011170,http://dx.doi.org/10.1002/2015JC011170,"Rogers, J.S., S.G. Monismith, D.A. Koweek and R.B. Dunbar. 2015. Wave dynamics of a pacific atoll with high frictional effects. J. Geophys. Res. Ocean. 120: 1‚Äì18. doi:10.1002/2015JC011170. {PARC-0120}",2016,"Rogers, Justin S; Monismith, Stephen G; Koweek, David A; Dunbar, Robert B",Journal of Geophysical Research: Oceans,10.1002/2015JC011170,,,,Library info not verified,
Use Of High-Resolution Acoustic Cameras To Study Reef Shark Behavioral Ecology,PUBLISHED,,ASSIGNED,PARC-0123,UPLOADED,https://linkinghub.elsevier.com/retrieve/pii/S0022098116300855,http://dx.doi.org/10.1016/j.jembe.2016.04.012,"McCauley, DJ, P.A. DeSalles, H.S. Young, J.P.A. Gardner, and F. Micheli. 2016. Use of high-resolution acoustic cameras to study reef shark behavioral ecology. Journal of Experimental Marine Biology and Ecology 482:128‚Äì133 {PARC-0123}",2016,"McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Gardner, Jonathan P.A.; Micheli, Fiorenza",Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2016.04.012,,,,Book chapter,
Large-Area Imaging Reveals Biologically Driven Non-Random Spatial Patterns Of Corals At A Remote Reef,PUBLISHED,,ASSIGNED,PARC-0125,UPLOADED,https://doi.org/10.1007/s00338-017-1624-3,-,Edwards Clinton et al. Coral Reefs SUBMITTED {PARC-0125},2017,"Edwards, Clinton B; Eynaud, Yoan; Williams, Gareth J; Pedersen, Nicole E; Zgliczynski, Brian J; Gleason, Arthur CR; Smith, Jennifer E; Sandin, Stuart A",Coral Reefs,10.1007/s00338-017-1624-3,,,,PARC number originally listed without the 0,
"A Coupled Wave-Hydrodynamic Model Of An Atoll With High Friction: Mechanisms For Flow, Connectivity, And Ecological Implications",PUBLISHED,,ASSIGNED,PARC-0127,UPLOADED,https://www.sciencedirect.com/science/article/pii/S146350031630169X?via%3Dihub,-,"Rogers, J.S., S.G. Monismith, O.B. Fringer, D.A. Koweek and R.B. Dunbar. 2017. A coupled wave-hydrodynamic model of an atoll with high friction: mechanisms for flow, connectivity, and ecological implications. Ocean Modelling 110:66‚Äì82. {PARC-0127}",2017,"Rogers, Justin S.; Monismith, Stephen G.; Fringer, Oliver B.; Koweek, David A.; Dunbar, Robert B.",Ocean Modelling,10.1016/j.ocemod.2016.12.012,,,,-,
Coral Larvae Change Their Settlement Preference For Crustose Coralline Algae Dependent On Availability Of Bare Space,PUBLISHED,,ASSIGNED,PARC-0128,UPLOADED,https://doi.org/10.1007/s00338-018-1665-2,-,"Elmer, F et al {PARC-0128}",2018,"Elmer, Franziska; Bell, James J.; Gardner, Jonathan P. A.",Coral Reefs,10.1007/s00338-018-1665-2,,,,-,
Activity Seascapes Highlight Central Place Foraging Strategies In Marine Predators That Never Stop Swimming,PUBLISHED,,ASSIGNED,PARC-0129,UPLOADED,https://doi.org/10.1186/s40462-018-0127-3,-,"Papastamatiou,Y.P., Y.Y. Watanabe, U. Dem≈°ar, V. Leos-Barajas, R. Langrock, D. Bradley, K. Weng, C.G. Lowe, A.M. Friedlander, and J.E. Caselle. Activity seascapes highlight central place refuging strategies in marine predators that do not need a shelter. Submitted to Animal Behavior{PARC-0129}",2018,"Papastamatiou, Yannis P.; Watanabe, Yuuki Y.; Dem≈°ar, Ur≈°ka; Leos-Barajas, Vianey; Bradley, Darcy; Langrock, Roland; Weng, Kevin; Lowe, Christopher G.; Friedlander, Alan M.; Caselle, Jennifer E.",Movement Ecology,10.1186/s40462-018-0127-3,,,,Data available by request to author,
Growth And Life History Variability Of The Grey Reef Shark (Carcharhinus Amblyrhynchos) Across Its Range,PUBLISHED,,ASSIGNED,PARC-0130,UPLOADED,"https://doi.org/10.1371/
 journal.pone.0172370","https://doi.org/10.1371/
 journal.pone.0172370","Bradley D, E. Conklin, Y.P. Papastamatiou, D.J. McCauley, K. Pollock, B.E. Kendall, S.D. Gaines, and J.E. Caselle. 2017. Growth and life history variability of the grey reef shark (Carcharhinus amblyrhynchos) across its range. PLoS ONE. 12:1-20. {PARC-0130}",2017,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.",PLOS ONE,10.1371/journal.pone.0172370,,,,Some supporting information available,
Resetting Predator Baselines In Coral Reef Ecosystems,PUBLISHED,,ASSIGNED,PARC-0131,UPLOADED,https://doi.org/10.1038/srep43131,-,"Bradley D, E. Conklin, Y.P. Papastamatiou, D.J. McCauley, K. Pollock, A. Pollock, B.E. Kendall, S.D. Gaines, and J.E. Caselle. 2017. Resetting predator baselines in coral reef ecosystems.. Sci Rep. 7:43131.{PARC-0131}",2017,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P; McCauley, Douglas J; Pollock, Kydd; Pollock, Amanda; Kendall, Bruce E; Gaines, Steven D; Caselle, Jennifer E",Scientific Reports,10.1038/srep43131,,,,PARC number originally listed without the 0,
No Persistent Behavioural Effects Of Scuba Diving On Reef Sharks,PUBLISHED,,ASSIGNED,PARC-0132,UPLOADED,https://doi.org/10.3354/meps12053,https://doi.org/10.3354/meps12053,"Bradley D., Y.P Papastamatiou, and J.E. Caselle. 2017. No persistent behavioural effects of SCUBA diving on reef sharks. Marine Ecology Progress Series. 567:173-184 {PARC-0132}",2017,"Bradley, Darcy; Papastamatiou, Yannis P; Caselle, Jennifer E",Marine Ecology Progress Series,10.3354/meps12053,,,,Some supporting information available,
Assessing The Effectiveness Of A Large Marine Protected Area For Reef Shark Conservation,PUBLISHED,,ASSIGNED,PARC-0133,UPLOADED,https://linkinghub.elsevier.com/retrieve/pii/S0006320717300678,-,"White, T.D, A.B. Carlisle, D.A. Kroodsma, B.A. Block, R. Casagrandi, G.A. De Leo, M. Gatto, F. Micheli, D.J. McCauley. 2017. Assessing the effectiveness of a large marine protected area for reef shark conservation. Biological Conservation 207: 64‚Äì7. {PARC-0133}",2017,"White, Timothy D.; Carlisle, Aaron B.; Kroodsma, David A.; Block, Barbara A.; Casagrandi, Renato; De Leo, Giulio A.; Gatto, Marino; Micheli, Fiorenza; McCauley, Douglas J.",Biological Conservation,10.1016/j.biocon.2017.01.009,,,,Supplemental data available through links,
Parrotfish Movement Patterns Vary With Spatiotemporal Scale,PUBLISHED,,ASSIGNED,PARC-0135,UPLOADED,https://doi.org/10.3354/meps12174,https://doi.org/10.3354/meps12174,"Davis K, P.M. Carlson, C.G. Lowe, R.R. Warner and J.E. Caselle. 2017. Parrotfish movement patterns vary with spatiotemporal scale. Marine Ecology Progress Series. 577:149-164. {PARC-0135}",2017,"Davis, K; Carlson, Pm; Lowe, Cg; Warner, Rr; Caselle, Je",Marine Ecology Progress Series,10.3354/meps12174,,,,Some supporting information available,
Fine-Scale Spatial Patterns Of Parrotfish Herbivory Are Shaped By Resource Availability,PUBLISHED,,ASSIGNED,PARC-0136,UPLOADED,https://doi.org/10.3354/meps12258,http://www.int-res.com/articles/suppl/m577p165_supp.pdf,"Carlson PM, Davis K, Warner RR, Caselle JE. 2017. Fine-scale spatial patterns of parrotfish herbivory are shaped by resource availability. Marine Ecology Progress Series. 577:165-176. {PARC-0136}",2017,"Carlson, Pm; Davis, K; Warner, Rr; Caselle, Je",Marine Ecology Progress Series,10.3354/meps12258,,,,Some supplementary info available at provided link | PARC number originally listed without the 0,
Mapping Elemental Contamination On Palmyra Atoll National Wildlife Refuge,PUBLISHED,,ASSIGNED,PARC-0137,UPLOADED,https://doi.org/10.1016/j.marpolbul.2017.12.065,https://doi.org/10.5066/F74F1P00,"Struckhoff, M.A., C.E. Orazio, D.E. Tillitt, D.K. Shaver, and D.M. Papoulias. 2018.Mapping elemental contamination on Palmyra Atoll National Wildlife Refuge. Marine Pollution Bulletin. 128:97-105, https://doi.org/10.1016/j.marpolbul.2017.12.065. {PARC-0137}",2018,"Struckhoff, Matthew A.; Orazio, Carl E.; Tillitt, Donald E.; Shaver, David K.; Papoulias, Diana M.",Marine Pollution Bulletin,10.1016/j.marpolbul.2017.12.065,,,,Some supporting information available | PARC number originally listed without the 0,
Limited Trophic Partitioning Among Sympatric Delphinids Off A Tropical Oceanic Atoll,PUBLISHED,,ASSIGNED,PARC-0138,UPLOADED,https://doi.org/10.1371/journal.pone.0181526,https://datadryad.org/stash/dataset/doi:10.5061/dryad.tg0fd,"Young H, K. Nigro, D.J. McCauley, L.T. Ballance, E.M. Oleson, S. Baumann-Pickering, 2017. Limited trophic partitioning among sympatric delphinids off a tropical oceanic atoll. PLoS ONE 12(8): e0181526. https://doi.org/10.1371/journal.pone.0181526 {PARC-0138}",2017,"Young, Hillary; Nigro, Katherine; McCauley, Douglas J.; Ballance, Lisa T.; Oleson, Erin M.; Baumann-Pickering, Simone",PLOS ONE,10.1371/journal.pone.0181526,,,,Some information available| PARC number originally listed without the 0,
Spatial Separation Without Territoriality In Shark Communities,PUBLISHED,,ASSIGNED,PARC-0139,UPLOADED,https://doi.org/doi:10.1111/oik.04289,https://doi.org/doi:10.1111/oik.04289,"Papastamatiou, Y.P., T.W. Bodey, A.M. Friedlander, C.G. Lowe, D. Bradley, K. Weng, V. Priestley, J.E. Caselle 2017. Spatial separation without territoriality in shark communities. Oikos XX;XX-XX. doi: 10.1111/oik.04289 {PARC-0139}",2018,"Papastamatiou, Yannis P.; Bodey, Thomas W.; Friedlander, Alan M.; Lowe, Christopher G.; Bradley, Darcy; Weng, Kevin; Priestley, Victoria; Caselle, Jennifer E.",Oikos,10.1111/oik.04289,,,,Library info not verified | PARC number originally listed without the 0,
"Changes In Benthic Community Composition Associated With The Outbreak Of The Corallimorph, Rhodactis Howesii, At Palmyra Atoll",PUBLISHED,,ASSIGNED,PARC-0140,UPLOADED,https://doi.org/10.1007/s00338-019-01841-5,https://link.springer.com/article/10.1007%2Fs00338-019-01841-5#Sec2,"Amanda L. Carter, Clinton B. Edwards, Yoan Eynaud, Michael D. Fox, Maggie D. Johnson, Levi S. Lewis, Corinne G. Amir, Stuart A. Sandin, and Jennifer E. Smith. Local-scale variability in the spatial and temporal dynamics of an invasive corallimorph, Rhodactis howesii, at Palmyra Atoll {PARC-0140}",2019,"Carter, Amanda L.; Edwards, Clinton B.; Fox, Michael D.; Amir, Corinne G.; Eynaud, Yoan; Johnson, Maggie D.; Lewis, Levi S.; Sandin, Stuart A.; Smith, Jennifer E.",Coral Reefs,10.1007/s00338-019-01841-5,,,,Raw data not found | PARC number originally listed without the 0,
Biophysical Drivers Of Coral Trophic Depth Zonation,PUBLISHED,,ASSIGNED,PARC-0142,UPLOADED,https://doi.org/10.1007/s00227-018-3314-2,https://doi.org/10.1007/s00227-018-3314-2,"Williams, G.J., Sandin, S.A., Zgliczynski, B.J. et al. Biophysical drivers of coral trophic depth zonation. Mar Biol 165, 60 (2018). https://doi.org/10.1007/s00227-018-3314-2",2018,"Williams, Gareth J.; Sandin, Stuart A.; Zgliczynski, Brian J.; Fox, Michael D.; Gove, Jamison M.; Rogers, Justin S.; Furby, Kathryn A.; Hartmann, Aaron C.; Caldwell, Zachary R.; Price, Nichole N.; Smith, Jennifer E.",Marine Biology,10.1007/s00227-018-3314-2,"Depth is used often as a proxy for gradients in energetic resources on coral reefs and for predicting patterns of community energy use. With increasing depth, loss of light can lead to a reduced reliance on autotrophy and an increased reliance on heterotrophy by mixotrophic corals. However, the generality of such trophic zonation varies across contexts. By combining high-resolution oceanographic measurements with isotopic analyses (δ13C, δ15N) of multiple producer and consumer levels across depths (10–30 m) at a central Pacific oceanic atoll, we show trophic zonation in mixotrophic corals can be both present and absent within the same reef system. Deep-water internal waves that deliver cool particulate-rich waters to shallow reefs occurred across all sites (2.5–5.6 events week−1 at 30 m) but the majority of events remained depth-restricted (4.3–9.7% recorded at 30 m propagated to 10 m). In the absence of other particulate delivery, mixotrophs increased their relative degree of heterotrophy with increasing depth. However, where relatively long-lasting downwelling events (1.4–3.3 times the duration of any other site) occurred simultaneously, mixotrophs displayed elevated and consistent degrees of heterotrophy regardless of depth. Importantly, these long-lasting surface pulses were of a lagoonal origin, an area of rich heterotrophic resource supply. Under such circumstances, we hypothesize heterotrophic resource abundance loses its direct linkage with depth and, with resources readily available at all depths, trophic zonation is no longer present. Our results show that fine-scale intra-island hydrographic regimes and hydrodynamic connectivity between reef habitats contribute to explaining the context specific nature of coral trophic depth zonation in shallow reef ecosystems.",NA,,-,
Mobile Marine Predators: An Understudied Source Of Nutrients To Coral Reefs In An Unfished Atoll,PUBLISHED,,ASSIGNED,PARC-0143,UPLOADED,http://dx.doi.org/10.1098/rspb.2017.2456,https://dx.doi.org/10.6084/m9.figshare.c.4007623,"Williams JJ, Papastamatiou YP, Caselle JE, Bradley D, Jacoby DMP. 2018 Mobile marine predators: an understudied source of nutrients to coral reefs in an unfished atoll. Proc. R. Soc. B 285: 20172456. http://dx.doi.org/10.1098/rspb.2017.2456",2018,"Williams, Jessica J.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Bradley, Darcy; Jacoby, David M. P.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2017.2456,"Animal movements can facilitate important ecological processes, and wide-ranging marine predators, such as sharks, potentially contribute significantly towards nutrient transfer between habitats. We applied network theory to 4 years of acoustic telemetry data for grey reef sharks (Carcharhinus amblyrhynchos) at Palmyra, an unfished atoll, to assess their potential role in nutrient dynamics throughout this remote ecosystem. We evaluated the dynamics of habitat connectivity and used network metrics to quantify shark-mediated nutrient distribution. Predator movements were consistent within year, but differed between years and by sex. Females used higher numbers of routes throughout the system, distributing nutrients over a larger proportion of the atoll. Extrapolations of tagged sharks to the population level suggest that prey consumption and subsequent egestion leads to the heterogeneous deposition of 94.5 kg d−1 of nitrogen around the atoll, with approximately 86% of this probably derived from pelagic resources. These results suggest that sharks may contribute substantially to nutrient transfer from offshore waters to near-shore reefs, subsidies that are important for coral reef health.","grey reef sharks, Carcharhinus amblyrhynchos, network theory, nitrogen cycle, Palmyra Atoll, acoustic telemetry",,Some supplementary information available | PARC number originally listed without the 0,
Herbivorous Fish Populations Respond Positively To A Shipwreck Removal And Associated Alteration Of Benthic Habitat,PUBLISHED,,ASSIGNED,PARC-0145,UPLOADED,https://doi.org/10.3389/fmars.2018.00406,-,NA,2018,"Davis, Kathryn; Carlson, Peter M.; Caselle, Jennifer E.",Frontiers in Marine Science,10.3389/fmars.2018.00406,,,,PARC number originally listed without the 0,
Quantifying Coconut Palm Extent On Pacific Islands Using Spectral And Textural Analysis Of Very High Resolution Imagery,PUBLISHED,,ASSIGNED,PARC-0146,UPLOADED,https://doi.org/10.1080/01431161.2019.1594440,-,NA,2019,"Burnett, Michael W.; White, Timothy D.; McCauley, Douglas J.; De Leo, Giulio A.; Micheli, Fiorenza",International Journal of Remote Sensing,10.1080/01431161.2019.1594440,,,,Library info not verified | PARC number originally listed without the 0,
"Chemistry Of The Consumption And Excretion Of The Bumphead Parrotfish (Bolbometopon Muricatum), A Coral Reef Mega-Consumer",PUBLISHED,,ASSIGNED,PARC-0147,UPLOADED,https://doi.org/10.1007/s00338-019-01781-0,https://link.springer.com/article/10.1007%2Fs00338-019-01781-0#Sec14,NA,2019,"Goldberg, E. Grace; Raab, Ted K.; Desalles, Paul; Briggs, Amy A.; Dunbar, Robert B.; Millero, Frank J.; Woosley, Ryan J.; Young, Hillary S.; Micheli, Fiorenza; Mccauley, Douglas J.",Coral Reefs,10.1007/s00338-019-01781-0,,,,PARC number originally listed without the 0,
"Limited Coral Mortality Following Acute Thermal Stress And Widespread Bleaching On Palmyra Atoll, Central Pacific",PUBLISHED,,ASSIGNED,PARC-0148,UPLOADED,https://doi.org/10.1007/s00338-019-01796-7,https://doi.org/10.1007/s00338-019-01796-7,NA,2019,"Fox, Michael D.; Carter, Amanda L.; Edwards, Clinton B.; Takeshita, Yuichiro; Johnson, Maggie D.; Petrovic, Vid; Amir, Corinne G.; Sala, Enric; Sandin, Stuart A.; Smith, Jennifer E.",Coral Reefs,10.1007/s00338-019-01796-7,,,,-,
